TFBS,peak_count,Numberof PostivePeaksForFinetuning,Type,Accuracy,Precision,Recall,Specificity,F1-score,MCC,ROC-AUC,PR-AUC
PATZ1,35416,35416,TF,90.67,91.72,87.44,93.38,89.53,81.2,96.62,95.93
ZNF398,26224,26224,TF,90.66,90.84,89.07,92.07,89.94,81.24,94.96,92.96
KLF1,40024,40024,TF,90.65,90.79,87.9,92.87,89.32,81.06,94.52,92.79
SCRT1,25487,25487,TF,90.65,90.88,89.96,91.32,90.42,81.3,94.93,94.54
NFIB,27982,27982,TF,90.65,90.32,85.66,93.94,87.93,80.39,96.05,95.1
PLRG1,2256,2256,TF,90.64,90.88,89.25,91.4,90.06,80.7,96.68,96.85
PRDM1,50489,50000,TF,90.62,95.62,94.72,95.62,95.17,90.34,98.83,98.73
ZNF133,8423,8423,TF,90.61,90.11,90.33,91.02,90.22,81.33,95.36,94.71
SREBF2,4933,4933,TF,90.59,91.88,86.51,93.87,89.11,80.96,96.2,95.55
EBF1,56947,50000,TF,90.59,90.18,91.1,90.06,90.64,81.16,95.31,94.3
THAP11,31698,31698,TF,90.57,89.5,90.08,90.97,89.79,81.02,94.85,93.4
ZNF48,28840,28840,TF,90.56,89.83,89.33,91.6,89.58,80.97,94.31,91
POU5F1,7870,7870,TF,90.56,91.39,88.08,92.73,89.71,81.04,96.35,95.35
RB1,31314,31314,TF,90.5,90.59,85.47,93.94,87.95,80.22,94,91.78
ZBTB6,13955,13955,TF,90.44,90.39,89.74,90.88,90.06,80.64,95.43,95.01
HNF1A,12818,12818,TF,90.44,88.64,91.68,89.25,90.13,80.86,93.47,91.12
KDM5B,18356,18356,TF,90.43,92.08,85.65,94.2,88.75,80.6,96.53,95.91
ZNF521,1585,1585,TF,90.37,94.12,86.31,94.74,90.04,81.4,96.17,96.82
GLI4,6130,6130,TF,90.37,93.13,87.14,93.59,90.04,80.9,96.45,96.57
RERE,11849,11849,TF,90.37,85.71,93.16,86.75,89.28,79.65,95.15,93.11
ZBTB26,32837,32837,TF,90.33,90.67,84.33,94.27,87.38,79.67,93.76,90.92
FOXP1,31380,31380,TF,90.33,88.5,90.4,90.27,89.44,80.53,95.14,93.99
ZNF596,14087,14087,TF,90.31,91.32,88.49,91.87,89.88,80.45,95.56,95.65
ZBTB21,18547,18547,TF,90.29,90.6,88.47,91.9,89.52,80.5,96.14,95.86
HMGXB4,25984,25984,TF,90.27,90.11,88.91,91.44,89.5,80.43,93.94,91.67
TEAD1,33326,33326,TF,90.27,87.43,93.35,87.4,90.29,80.76,95.53,94.84
ZNF660,29821,29821,TF,90.18,90.77,88.78,91.55,89.77,80.41,94.75,94.22
SFPQ,335,335,TF; RBP,90.18,94.34,86.21,94.44,90.09,80.72,91.7,90.66
ZNF658,1325,1325,TF,90.14,93.44,84.24,94.37,88.6,79.15,93.92,94.54
SKI,30460,30460,TF,90.12,88.82,89.73,90.5,89.27,80.17,95.47,93.65
SRF,27692,27692,TF,90.12,88.55,87.3,92.13,87.92,79.6,96,94.95
CEBPG,87912,50000,TF,90.11,88.8,91.53,88.75,90.14,80.28,96.25,96.42
ZHX1,5512,5512,TF,90.1,90.18,87.1,92.47,88.61,79.89,94.55,92.57
RUNX1,7554,7554,TF,90.07,90.41,88.21,91.72,89.3,80.07,94.29,91.85
RXRB,38236,38236,TF,90.07,87.08,92.76,87.65,89.83,80.29,94.62,92.92
ZBTB48,24899,24899,TF,90.05,87.61,91.04,89.13,89.29,79.98,96.26,95.22
ZNF747,1427,1427,TF,90.02,88.64,89.04,88.74,88.84,77.78,95.87,95.94
VEZF1,35726,35726,TF,90.01,91.08,85.38,93.53,88.14,79.59,94.32,93.48
GATA1,33326,33326,TF,89.96,88.23,86.41,92.32,87.31,79.01,93.39,91.08
ZNF670,1288,1288,TF,89.95,92.07,84.83,94.09,88.3,79.72,95.12,95.63
ARID4B,42648,42648,TF,89.94,88.59,89.39,90.39,88.99,79.72,94.05,92.27
ZNF449,18374,18374,TF,89.94,90.2,88.46,91.28,89.32,79.82,94.61,94.5
KLF17,25375,25375,TF,89.93,89.44,88.68,91,89.05,79.73,96.18,95.48
ZBTB20,31889,31889,TF,89.91,89.07,87.41,91.84,88.23,79.44,95.2,92.94
ELF3,35966,35966,TF,89.85,88.14,90.76,89.02,89.43,79.69,95.06,93.86
ZNF16,2784,2784,TF,89.85,91.45,86.95,92.52,89.14,79.71,95.41,95.27
ZMIZ1,1077,1077,TF,89.85,90.36,89.82,89.87,90.09,79.68,95.22,95.28
ZSCAN5A,8202,8202,TF,89.84,90.51,87.93,91.47,89.2,79.51,93.59,90.92
ZNF143,66295,50000,TF,89.84,98.83,98.15,98.84,98.49,96.99,99.48,99.5
ZNF513,11211,11211,TF,89.78,92.64,85.35,93.81,88.85,79.67,94.49,95.41
PPARG,23903,23903,TF,89.77,88.87,90.08,89.49,89.47,79.54,94.59,93.53
ZBTB8A,32420,32420,TF,89.73,91.68,85.05,93.54,88.24,79.23,94,92.72
IRF5,2755,2755,TF,89.71,91.67,87.26,92.14,89.41,79.51,93.56,94.62
ZMYM3,43157,43157,TF,89.71,87.46,91.26,88.33,89.32,79.47,95.52,95.45
DEK,8490,8490,TF,89.7,87.71,89.95,89.5,88.82,79.3,95.38,93.29
GABPB1,47437,47437,TF,89.7,90.99,87.33,91.86,89.12,79.34,94.29,92.92
ZNF629,37813,37813,TF,89.69,88.98,88.84,90.42,88.91,79.28,94.14,92.43
ETV1,20672,20672,TF,89.68,89.41,89.36,89.9,89.39,79.26,95.3,95.09
ZNF394,28297,28297,TF,89.67,90.67,86.68,92.29,88.63,79.28,94.54,94.01
TEAD4,34189,34189,TF,89.66,90.3,88.69,90.63,89.49,79.35,95.4,94.56
PHF20,13930,13930,TF,89.63,91.79,85.6,93.2,88.59,79.27,94.4,91.57
RBBP5,30322,30322,TF,89.59,90.8,80.6,95.07,85.4,77.72,96.01,94.46
NFYC,15080,15080,TF,89.59,90.6,87.58,91.55,89.07,79.26,95.3,95.46
ELK1,12298,12298,TF,89.58,90.67,79.39,95.37,84.66,77.21,91.33,89.55
H4K12ac,42837,42837,Histone,89.57,88.73,90.34,88.77,89.53,79.11,96.1,95.46
HMBOX1,24883,24883,TF,89.55,87.63,89.99,89.15,88.79,79,95.65,94.82
KDM5A,13023,13023,TF,89.53,92.53,74.46,97.01,82.52,76.06,92.86,90.18
WHSC1,1801,1801,TF,89.51,85.27,93.61,85.95,89.25,79.38,94.42,89.89
ZNF692,30183,30183,TF,89.51,89.26,87.98,90.83,88.62,78.9,94.15,92.63
MEF2B,34822,34822,TF,89.51,89.23,87.79,91,88.5,78.89,94.65,93.45
TCF7L2,28567,28567,TF,89.46,87.21,86.42,91.48,86.81,78.01,94.06,91.99
SAP130,58021,50000,TF,89.46,88.69,90.59,88.3,89.63,78.92,93.52,92.26
SETDB1,4903,4903,TF,89.45,90.32,85.2,92.72,87.69,78.48,96.29,95.41
ZKSCAN1,20226,20226,TF,89.45,89.53,85.77,92.26,87.61,78.46,94.37,92.44
GATA4,12156,12156,TF,89.43,88.14,89.87,89.83,88.99,79.58,94.52,91.79
EGR1,67451,50000,TF,89.43,91.2,87.4,91.47,89.26,78.93,93.84,93.58
SUZ12,24316,24316,TF,89.36,91.95,75.45,96.57,82.88,76.05,94.21,91.33
HDAC6,5762,5762,TF,89.35,92.23,83.02,94.41,87.38,78.54,95.07,94.75
TEAD3,42854,42854,TF,89.35,88.08,90.35,88.51,89.2,78.82,95.32,93.94
SRSF9,846,846,TF; RBP,89.34,93.52,81.45,95.27,87.07,78.1,96.1,95.7
MLX,14640,14640,TF,89.33,86.92,90.87,87.94,88.85,78.67,93.58,91.33
ARID1B,45992,45992,TF,89.32,88.8,88.73,89.86,88.77,78.6,95.17,94.59
ZSCAN30,24704,24704,TF,89.31,90.61,86.77,91.57,88.65,78.51,94.12,92.49
ZFP36,32993,32993,TF; RBP,89.3,86.75,86.13,91.41,86.44,77.64,94.32,92.7
ZFP64,9433,9433,TF,89.3,88.21,89.4,89.15,88.8,78.5,94.25,93.12
ZNF518A,16690,16690,TF,89.3,90.69,85.65,92.26,88.1,78.27,94.68,95.04
ZNF512,17500,17500,TF,89.29,90.52,84.71,92.93,87.52,78.28,95.55,95.6
MEF2C,11421,11421,TF,89.25,87.48,90.97,87.55,89.19,78.51,94.66,93.88
ARID2,11585,11585,TF,89.24,88.96,88.59,89.89,88.78,78.49,93.47,91.82
IKZF5,25386,25386,TF,89.21,86.52,90.76,87.92,88.59,78.47,94.7,92.99
PRDM2,3824,3824,TF,89.19,88.89,88.27,90.03,88.58,78.33,93.29,91.23
KDM6A,12193,12193,TF,89.17,88.13,89.53,88.85,88.82,78.34,95.31,94.56
RXRA,85611,50000,TF,89.17,88.02,90.9,87.4,89.44,78.37,94.78,93.82
NRF1,41391,41391,TF,89.15,90.88,84.6,92.92,87.63,78.13,93.52,92.27
MEF2A,22725,22725,TF,89.15,89.76,88.39,90.04,89.07,78.45,95.08,95.07
SREBF1,13518,13518,TF,89.15,88.64,86.67,91.09,87.65,77.95,95.62,95.11
BCOR,41985,41985,TF,89.08,87.59,89.93,88.37,88.74,78.24,95.34,94.44
FOSL1,43596,43596,TF,89.06,89.89,86.28,91.51,88.05,78.04,94.11,93.96
ZFP69B,21782,21782,TF,89.05,90.4,86.47,91.45,88.39,78.11,94.54,93.79
ZNF837,2332,2332,TF,89,91.49,85.75,92.37,88.53,78.38,94.06,94.52
CREB1,89914,50000,TF,88.96,88.95,89.13,88.75,89.04,77.88,95.48,96.05
KDM3A,15970,15970,TF,88.94,86.26,89.97,88.05,88.07,77.8,92.68,88.4
POU2F2,19963,19963,TF,88.92,87.74,89.83,88.02,88.77,77.83,93.25,89.71
RBPJ,24864,24864,TF,88.92,87.53,87.67,89.72,87.6,77.38,94.85,93.61
H2AK9ac,129243,50000,Histone,88.91,86.83,91.79,86.03,89.24,77.95,94.58,92.7
IRF2,31753,31753,TF,88.9,86.93,88.07,89.56,87.49,77.52,93.77,92.14
EED,33175,33175,TF,88.9,88.65,87.71,89.97,88.18,77.73,94.22,92.87
CBFB,18476,18476,TF,88.89,88.53,86.92,90.52,87.72,77.56,93.81,91.26
ZNF362,20426,20426,TF,88.88,89.07,85.87,90.96,87.44,77.07,94.25,92.46
HMG20A,24288,24288,TF,88.87,87.32,89.33,88.56,88.31,77.8,94.68,93.45
NR2F6,59262,50000,TF,88.87,88.05,89.71,88.04,88.87,77.75,93.72,92
MIXL1,25659,25659,TF,88.8,86.56,90.33,87.42,88.4,77.64,94.17,93.38
ZNF768,7605,7605,TF,88.79,89.37,87.39,90.04,88.37,77.49,92.77,94.22
ZNF791,3900,3900,TF,88.77,91.43,84.8,92.51,87.99,77.66,94.79,95.45
ZNF652,15412,15412,TF,88.76,89.03,87.89,89.79,88.46,77.71,95.01,94.59
GTF2B,1890,1890,TF,88.76,93.67,81.02,95.34,86.89,77.76,94.01,94.5
CBX1,12838,12838,TF,88.75,89.21,85.29,91.47,87.21,77.12,94.69,92.62
KLF4,6883,6883,TF,88.72,88.1,84.08,91.89,86.04,76.53,92.03,91.82
HHEX,7808,7808,TF,88.7,86.4,90.42,87.14,88.36,77.47,95.48,94.32
ZFP91,12862,12862,TF,88.7,88.36,87.49,89.73,87.92,77.26,93.44,93.1
ETS1,30554,30554,TF,88.69,87.74,81.87,92.91,84.7,75.86,94.07,90.02
FOSL2,54934,50000,TF,88.66,88.98,88.07,89.23,88.52,77.31,92.87,91.8
GMEB1,22958,22958,TF,88.61,90.24,83.77,92.58,86.89,77.01,94.78,94.21
MYRF,6038,6038,TF,88.61,90.03,86.21,90.89,88.08,77.25,92.66,88.81
CREB3L1,16274,16274,TF,88.6,89.04,83.36,92.46,86.11,76.58,93.55,91.45
MBD2,20596,20596,TF,88.6,90.05,82.23,93.27,85.96,76.58,94.29,92.38
ZNF384,49451,49451,TF,88.58,88.07,88.77,88.29,88.42,77.06,94.86,94.74
ZNF664,26774,26774,TF,88.58,86.11,91.21,86.15,88.58,77.35,94.23,93.8
SP7,43425,43425,TF,88.58,88.54,86.35,90.46,87.43,76.97,93.73,92.33
AEBP2,2439,2439,TF,88.57,91.33,85.41,91.78,88.27,77.32,92.65,93.95
HOMEZ,25047,25047,TF,88.57,85.69,91.35,85.99,88.43,77.28,94.49,93.05
ZNF514,1637,1637,TF,88.55,90.64,86.94,91.3,88.75,78.36,93.62,94.15
DRAP1,23241,23241,TF,88.55,87.74,87.66,89.34,87.7,77.01,93.04,91.43
HSF1,3588,3588,TF,88.53,88.14,85.44,90.46,86.77,76.13,93.77,93.41
FOXA1,144475,50000,TF,88.52,86.8,90.84,86.17,88.77,77.1,94.82,94.45
KLF10,18933,18933,TF,88.52,88.87,85.46,91.09,87.13,76.85,93.65,91.19
ZNF18,18879,18879,TF,88.49,88.9,86.82,90.24,87.85,77.17,93.25,92.44
GATAD1,22354,22354,TF,88.45,88.42,86.68,90.03,87.54,76.82,92.76,90.62
BRCA1,4271,4271,TF,88.43,91.39,78.46,95.08,84.43,75.87,91.88,90.63
GATA3,89323,50000,TF,88.41,86.56,91.07,85.77,88.76,76.95,93.95,93.68
TBX3,16097,16097,TF,88.37,85.78,87.62,88.94,86.69,76.37,92.33,87.32
HIC1,24393,24393,TF,88.34,88.28,87.47,89.21,87.87,76.71,95.07,94.7
ELF4,19552,19552,TF,88.29,88.63,83.34,91.95,85.91,75.96,91.81,90.4
KLF7,11741,11741,TF,88.28,89.05,85.94,90.36,87.47,76.46,95.07,95.1
MAZ,57653,50000,TF,88.25,90.87,85.32,91.26,88.01,76.68,93.3,92.34
YY2,9753,9753,TF,88.25,88.18,86.89,89.59,87.53,76.55,94.5,93.99
RLF,9482,9482,TF,88.25,90.4,84.26,91.83,87.22,76.48,91.97,89.17
ZNF561,21469,21469,TF,88.25,87.7,87.24,89.14,87.47,76.41,92.52,89.34
HBP1,13101,13101,TF,88.25,88.29,85.78,90.24,87.02,76.2,94.35,92.31
PBX2,38883,38883,TF,88.24,88.7,85.11,90.84,86.87,76.24,92.57,90.17
GATA2,71662,50000,TF,88.17,87.2,89.11,87.26,88.14,76.37,93.72,92.79
ESRRA,41619,41619,TF,88.17,87.25,86.66,89.43,86.95,76.13,93.13,89.98
ZNF189,35323,35323,TF,88.17,87.73,86.46,89.48,87.09,76.02,93.99,92.74
MIER2,15598,15598,TF,88.16,88.04,87.41,88.83,87.72,76.26,93.74,92.28
TBX21,38025,38025,TF,88.15,86.9,87.91,88.34,87.4,76.21,94.73,94.2
DMAP1,21794,21794,TF,88.15,86.15,85.93,89.63,86.04,75.58,92.88,89.99
RFX3,6180,6180,TF,88.14,88.61,86.8,89.41,87.7,76.27,92.23,93.25
FEZF1,31350,31350,TF,88.12,88.11,86.7,89.12,87.4,75.88,94.8,93.99
ZNF248,2499,2499,TF,88.12,90.99,83.91,92.11,87.31,76.4,92.8,92.85
ZNF600,45001,45001,TF,88.11,87.85,86.98,89.1,87.42,76.12,93.97,90.88
NR2F2,55514,50000,TF,88.09,87.92,88.07,88.13,88,76.2,95.03,94.56
ZNF560,3447,3447,TF,88.07,91.12,84.48,91.68,87.67,76.34,95.15,96.12
BHLHE40,90623,50000,TF,88.01,88.14,87.86,88.19,88,76.05,92.37,91.72
NFKBIZ,12731,12731,TF,88,86.36,87.41,88.32,86.89,75.67,93.2,90.86
SOX6,36530,36530,TF,87.97,87.53,86.83,88.96,87.18,75.83,92.97,91.69
NCOA1,26193,26193,TF,87.95,87.78,80.32,92.79,83.89,74.42,92.56,89.24
ZNF2,24945,24945,TF,87.94,89.36,83.7,91.57,86.44,75.77,92.68,91
JUNB,51972,50000,TF,87.93,88.38,87.66,88.21,88.02,75.87,92.72,91.19
KDM4B,7803,7803,TF,87.93,92.47,81.11,94.03,86.42,76.1,93.56,94.18
ZNF10,17922,17922,TF,87.88,88.17,86.18,89.28,87.16,75.54,93.83,93.93
MYB,3337,3337,TF,87.86,89.57,83.91,91.35,86.65,75.67,94.72,93.1
MGA,28338,28338,TF,87.84,87.71,85.33,89.96,86.5,75.47,91.45,85.5
ZBTB2,16341,16341,TF,87.82,90.6,82.91,92.31,86.59,75.81,94.58,94.15
ZEB1,20733,20733,TF,87.82,89.58,81,92.95,85.07,75.12,94.37,93.15
REPIN1,5721,5721,TF,87.81,91.1,81.76,93,86.18,75.59,94.22,94.58
ZNF148,21902,21902,TF,87.79,90.32,81.52,92.95,85.69,75.47,92.13,92.12
ERF,27611,27611,TF,87.78,87.57,85.42,89.77,86.48,75.36,92.92,90.58
KLF8,27450,27450,TF,87.78,89.12,83.46,91.42,86.2,75.38,91.63,88.66
MYC,94483,50000,TF,87.77,88.62,86.47,88.97,87.53,75.46,93.73,92.94
