TFBS,peak_count,Numberof PostivePeaksForFinetuning,Type,Accuracy,Precision,Recall,Specificity,F1-score,MCC,ROC-AUC,PR-AUC
ZNF843,22911,22911,TF,86.68,86.14,84.7,88.33,85.41,73.13,92.05,89.55
ATM,2162,2162,TF,86.67,86.26,85.71,87.54,85.99,73.27,93.74,94.31
ZNF473,2252,2252,TF,86.67,89.91,83.05,90.18,86.34,73.3,92.54,93
MXD4,18180,18180,TF,86.63,86.96,82.05,90.26,84.43,72.84,91.34,88.33
ZNF707,3329,3329,TF,86.61,84.44,89,84.11,86.66,73.15,93.38,93.31
CREM,72466,50000,TF,86.61,88.26,84.91,88.35,86.56,73.28,92.96,93.26
ZNF157,3778,3778,TF,86.6,86.15,86.9,86.32,86.52,73.21,89.54,86.21
IKZF3,29535,29535,TF,86.59,87.31,84.35,88.69,85.8,73.18,91.99,88.04
DIDO1,7186,7186,TF,86.58,88.79,82.74,90.12,85.66,73.16,92.29,92.48
ZSCAN26,2537,2537,TF,86.56,91.32,79.63,92.71,85.08,73.1,93.43,94.67
MXI1,52982,50000,TF,86.53,88.35,84,89.05,86.12,73.16,94.05,94.26
ZSCAN18,4130,4130,TF,86.51,90.02,80.78,91.77,85.15,73.21,92.3,92.92
CDC5L,5151,5151,TF,86.47,88.9,81.57,90.87,85.08,72.97,93.59,93.67
KLF5,11680,11680,TF,86.44,89.28,81.74,91.1,85.35,73.38,92.7,90.15
ZNF512B,8552,8552,TF,86.43,88.24,79.13,91.98,83.44,72.31,93.26,91.76
LARP7,27160,27160,TF; RBP,86.42,88.12,80.48,91.23,84.12,72.54,93.32,92.81
ZNF280C,1292,1292,TF,86.42,87.37,84.8,87.56,86.07,72.38,92.27,92.66
L3MBTL2,52245,50000,TF,86.41,87.67,84.83,88.01,86.23,72.87,91.05,89.82
MCM2,4549,4549,TF,86.41,90.89,80.55,92.12,85.41,73.24,93.45,94.29
ZNF404,2249,2249,TF,86.4,88.06,82.98,89.58,85.45,72.82,91.88,93.7
E2F7,2985,2985,TF,86.4,88.7,82.23,90.27,85.34,72.88,91.15,91.4
MTA1,22370,22370,TF,86.34,86.94,81.71,89.92,84.24,72.13,93.57,92.13
ZNF324,14713,14713,TF,86.32,89.13,80.46,91.38,84.57,72.58,93.81,93.44
GTF2F1,39350,39350,TF; RBP,86.32,87.36,80.03,91.04,83.54,71.95,92.14,90.16
RAD21,188052,50000,TF,86.3,97.73,98.11,97.72,97.92,95.83,99.11,98.99
NR2C1,31898,31898,TF,86.27,84.94,79.04,90.96,81.88,70.99,90.51,85.79
RBAK,3642,3642,TF,86.25,85.82,85.66,86.79,85.74,72.46,92.56,93.16
TCF7,30462,30462,TF,86.23,83.48,87.38,85.23,85.39,72.43,92.08,90.33
ZNF776,2838,2838,TF,86.23,85.4,84.98,87.12,85.19,72.11,92.22,92.04
ARHGAP35,4817,4817,TF,86.18,89.16,81.99,90.27,85.43,72.56,93.57,93.39
STAT1,11457,11457,TF,86.15,87.93,79.09,91.47,83.28,71.62,92.57,90.18
ZNF621,1976,1976,TF,86.14,91.4,80.44,91.7,85.57,72.29,92.51,92.93
YBX3,2599,2599,TF; RBP,86.12,87.29,81.96,89.53,84.54,71.89,90.9,90.72
ZNF610,13333,13333,TF,86.07,88.83,80.3,91.01,84.35,72,91.36,89.32
OVOL3,9089,9089,TF,86.05,86.55,83.77,88.19,85.14,72.1,90.46,88.66
GLI2,5650,5650,TF,86.05,86.84,85.73,86.73,86.28,72.46,91.17,92.26
KLF6,15409,15409,TF,86.05,86.52,81.89,89.5,84.14,71.82,91.14,87.94
ASH1L,7269,7269,TF,85.96,92.5,77.22,94.17,84.17,72.75,92.97,93.93
NR3C1,62779,50000,TF,85.91,86.54,85.25,86.59,85.89,71.84,93.29,93.1
KLF16,48641,48641,TF,85.91,88.03,82.62,89.11,85.24,71.93,90.83,90.08
ZNF114,1444,1444,TF,85.91,86.86,79.17,90.98,82.83,71.14,91.36,91.57
PRDM10,68962,50000,TF,85.9,84.87,87.96,83.75,86.39,71.81,91.62,88.42
ZSCAN29,21597,21597,TF,85.87,86.14,78.54,91.07,82.16,70.73,90.3,85.84
IRF1,32357,32357,TF,85.84,86.81,75.35,92.63,80.68,70.05,89.75,87.82
ZSCAN9,17526,17526,TF,85.83,84.9,84.84,86.74,84.87,71.58,91.14,89.95
ZFP3,4550,4550,TF,85.82,85.08,84.44,86.65,84.76,71.12,93.06,93.73
TAF7,21002,21002,TF,85.79,91.48,73.92,94.8,81.76,71.45,93.28,92.37
MNT,83589,50000,TF,85.79,89.11,81.41,90.11,85.08,71.81,92.76,93.16
ZFP37,16553,16553,TF,85.78,87.77,80.11,90.64,83.76,71.48,89.27,86.32
MZF1,17643,17643,TF,85.78,85.83,84.49,86.97,85.16,71.51,91.67,89.93
TOE1,29556,29556,TF; RBP,85.74,88.33,77.31,92.11,82.45,70.87,89.5,89.69
PHF21A,8878,8878,TF,85.74,85.92,84.46,87.26,85.18,71.78,88.24,82.19
BACH1,41151,41151,TF,85.62,85.72,81.67,88.85,83.64,70.88,90.78,88.15
ZNF7,8038,8038,TF,85.61,86.34,83.54,87.14,84.92,70.74,92.67,92.68
ZNF211,1919,1919,TF,85.59,87.55,81.85,88.59,84.6,70.63,91.95,92.44
ZSCAN23,8505,8505,TF,85.58,86.15,82.54,88.26,84.31,71.03,92.3,91.5
FOXM1,20757,20757,TF,85.57,88.69,79.27,90.99,83.72,71.03,90.82,89.44
SUPT5H,22469,22469,TF,85.56,87.23,77.35,91.57,81.99,70.28,93.26,92.1
BCL3,43282,43282,TF,85.55,87.01,80.81,89.59,83.8,70.91,93.27,92.67
TFDP1,30292,30292,TF,85.52,86.74,75.61,92.21,80.8,69.69,89.14,84.38
TAF9B,13069,13069,TF,85.46,87.11,80.34,89.84,83.58,70.77,87.02,79.88
ZNF792,24699,24699,TF,85.46,85.03,82.63,88.06,83.82,70.9,92.95,91.81
SIN3A,65597,50000,TF,85.43,86.1,84.08,86.75,85.07,70.86,93.29,93.11
JUND,166033,50000,TF,85.43,86.16,84.51,86.31,85.33,70.83,93.1,93.42
H3K9me1,196657,50000,Histone,85.43,85.78,89.19,85.16,87.45,74.42,93.75,91.95
BCL11A,33663,33663,TF,85.41,86.88,81.98,88.14,84.36,70.31,92.15,91.13
POLR2G,59528,50000,TF; RBP,85.39,89.06,80.99,89.84,84.83,71.06,92.98,93.64
H3K23me2,77099,50000,Histone,85.39,85.62,85.29,85.56,85.45,70.84,93.76,93.34
NR2C2,29811,29811,TF,85.39,85.08,75.91,91.54,80.24,69.08,89.73,86.9
ZNF571,1488,1488,TF,85.34,87.56,81.7,88.84,84.53,70.78,92.7,93.55
ZNF311,2206,2206,TF,85.34,87.13,81.23,89.08,84.08,70.67,92.44,93.57
EP400,25324,25324,TF,85.29,87.54,77.49,91.56,82.21,70.37,89.96,88.24
ZFP1,12129,12129,TF,85.26,82.71,85.28,85.24,83.98,70.36,91.92,90.8
REST,119743,50000,TF,85.25,87.17,82.87,87.66,84.97,70.59,90.84,91.49
RCOR2,19532,19532,TF,85.25,82.36,86.5,84.24,84.38,70.55,90.5,88.89
SP1,120925,50000,TF,85.24,85.55,84.18,86.19,84.86,70.4,91.19,91.14
MCM3,2561,2561,TF,85.24,86.91,81.89,88.19,84.32,70.28,93,93.26
ZNF169,2873,2873,TF,85.23,85.45,83.3,86.43,84.36,69.79,91.23,90.6
PHF5A,9570,9570,TF,85.23,86.11,78.99,89.21,82.4,68.83,90.52,88.55
TSHZ1,11804,11804,TF,85.17,86.72,82.29,87.97,84.45,70.43,92.39,91.76
MTA2,59001,50000,TF,85.15,86.14,83.72,86.57,84.91,70.32,90.5,89.57
GFI1B,10694,10694,TF,85.11,84.87,84.27,85.84,84.57,70.13,91.26,90.52
ZNF558,13849,13849,TF,85.1,85.54,82.82,87.19,84.16,70.14,91.1,91.2
ZNF19,1998,1998,TF,85.06,90.98,78.32,92,84.17,70.88,91.34,93.34
SMAD5,22402,22402,TF,85.03,87.74,72.04,93.4,79.12,68.32,92.23,90.37
SNRNP70,871,871,TF; RBP,85.02,88.14,78.2,90.91,82.87,70.03,89.28,89.69
